Field,LocalizationKey,English,TemplateCount,Categories,Templates
description,NameSkill_Consumable_StatIncreasePercForDurationDesc,Increases [StatEnum] by [AddValueCalculated:P0] for [DurationCalculated]s.,8,potion,ItemTemplate_Alchemy_BloodSuckerPotion | ItemTemplate_Alchemy_ElixirOfFastWalking | ItemTemplate_Alchemy_Fireball | ItemTemplate_Alchemy_PrecisionPotion | ItemTemplate_Alchemy_SoS_FullSailMaxStamina | ItemTemplate_Alchemy_SoS_MindLikeWaterMaxHealth | ItemTemplate_Alchemy_SoS_SoundAsABellMaxMana | ItemTemplate_Alchemy_SwiftHands
description,Template/description_locString_2543871262668956605_003fc08832cbfe84abf3405771d46a22,"A potion created by people studying monsters. Increases Endurance, but causes Poison.",1,potion,ItemTemplate_Alchemy_LivingFlesh
description,Template/description_locString_2543871262668956605_01a4bc1a25b18b64a8e2b2631210bfa6,,1,potion,ItemTemplate_Alchemy_Buff_IgniteSword
description,Template/description_locString_2543871262668956605_01b62c68c9f825e49b8e204c6f0656a1,Increase Spirituality but sacrifice other stats.,1,potion,ItemTemplate_Alchemy_TheudTribesGuide
description,Template/description_locString_2543871262668956605_034976618607389459ac39918ba29297,Apply Corruption ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_RustbaneBrew
description,Template/description_locString_2543871262668956605_04266a72c491dc34daa8bda9c4f05206,"Coats weapon, inflicting Bleed build-up.",1,potion,ItemTemplate_CrazyConsumable_BleederRogue
description,Template/description_locString_2543871262668956605_078c94e2243e63c48a518f5e4b0d0e61,Consumption leads to inebriation.,1,food,ItemTemplate_Crafting_Alchemy_Wine_Blueberry
description,Template/description_locString_2543871262668956605_0a533f2f76213424f9897d258a588fda,"Coats weapon for [{BuffDuration}]s, inflicting <k=StatusBleed>Bleed</k>.",1,potion,ItemTemplate_CrazyConsumable_BleederRogue
description,Template/description_locString_2543871262668956605_0f1184db835422f4093c694265dd833f,,1,food,ItemTemplate_Crafting_Cooking_WyrdVenison
description,Template/description_locString_2543871262668956605_1828b3c545c6db2468591868a8a097ab,Consumption leads to inebriation.,1,food,ItemTemplate_Crafting_Alchemy_Brandy
description,Template/description_locString_2543871262668956605_200559185946f1541a9ce1fdcaba5934,"Increase [StatEnum_0] by [LoseValueCalculated_0] for [DurationCalculated_0] seconds.
Decrease [StatEnum_1] by [LoseValueCalculated_1] for [DurationCalculated_1] seconds.
Lose [HealValueCalculated_2] [StatEnum_2].",1,potion,ItemTemplate_Alchemy_LastDitchEffort
description,Template/description_locString_2543871262668956605_22b78e03b1a5b2f46be509218809838a,Restores [HealValueCalculated] [StatEnum].,1,potion,ItemTemplate_Alchemy_GreatManaPotion
description,Template/description_locString_2543871262668956605_235f7ed1994d1cc49b6e947c19fab873,"Does nothing.
Unless you don’t know that.",1,potion,ItemTemplate_Alchemy_ElixirOfYouth
description,Template/description_locString_2543871262668956605_2401daf603c7dea4996fd5be51eee651,"Consumption leads to Suffering.
Lose [HealValueCalculated] [StatEnum].",1,food,ItemTemplate_Crafting_Alchemy_SpoiledMeat
description,Template/description_locString_2543871262668956605_24227a141c98ea24398f90e97b51c033,Increase [StatEnum] by [AddValueCalculated] for [DurationCalculated] seconds.,1,potion,ItemTemplate_Alchemy_GreaterStagfatherBrew
description,Template/description_locString_2543871262668956605_24a294e97e786dd4dbc36a814e296b7d,Apply Burn ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_Heartburn
description,Template/description_locString_2543871262668956605_24c46f41f2f1ed14a9adb9edaccc63b1,Restores [HealValueCalculated:P0] of [MaxStatEnum].,1,food,ItemTemplate_Crafting_Alchemy_Wyrdplasm
description,Template/description_locString_2543871262668956605_259846749625c19478642c3bd9364a93,"Increases [StatEnum] by [AddValueCalculated] for [DurationCalculated]s.
Increases [StatEnum_1_0] by [AddValueCalculated_1_0] for [DurationCalculated]s.
Increases [StatEnum_2_0] by [AddValueCalculated_2_0] for [DurationCalculated]s.",1,potion,ItemTemplate_Alchemy_RejuvenationPotion
description,Template/description_locString_2543871262668956605_25fec1096702b6248ba146603ef5322b,"Restores [HealValue] health over [Duration]s.
Restores [HealPercent]% [StatEnum_1] over [Duration]s.",1,food,ItemTemplate_Crafting_Alchemy_Brain
description,Template/description_locString_2543871262668956605_26ee21ac7445f5941855e34dfed2d70b,"Coats weapon, inflicting Mute build-up.",1,potion,ItemTemplate_Alchemy_SilentDraught
description,Template/description_locString_2543871262668956605_28e42deb95292114bacc33413798893a,,1,potion,ItemTemplate_Alchemy_SoothingBalm
description,Template/description_locString_2543871262668956605_29de8192c5e756048970aa5ed178596d,Increases Movement Speed by 20% for [DurationCalculated]s.,1,potion,ItemTemplate_Alchemy_SwiftSteps
description,Template/description_locString_2543871262668956605_2c629bc3eae087040ab9d3d4c1da54a3,Apply Poison ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_SneakyFishermansDraught
description,Template/description_locString_2543871262668956605_2d6b81dc173e17147b41555e1b32677f,Apply Weak ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_HangmansFruitDecoction
description,Template/description_locString_2543871262668956605_30be4a8bfca6a994d8f6ab6da199f84f,Apply Corruption ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_HangmansBlood
description,Template/description_locString_2543871262668956605_31a749bc3251d7641b38f1ffdd585372,Applying to a weapon has a [ChanceToApply:P0] chance to inflict <k=StatusStun>Stun</k>.,1,potion,ItemTemplate_Alchemy_DraughtofParalysis
description,Template/description_locString_2543871262668956605_33a0cb9259582ab4085c2d454515e4f0,Consumption leads to insobriety.,1,food,ItemTemplate_Crafting_Alchemy_Ale
description,Template/description_locString_2543871262668956605_33e7f3cf8ed69a448aea698c81cd9cd3,,1,potion,ItemTemplate_Alchemy_ZZZ_Trash
description,Template/description_locString_2543871262668956605_34a437fae52f44c4ea5b4173a019b079,"Gets people Drunk, yet increases their [StatEnum_0].",1,potion,ItemTemplate_Alchemy_DruidsTincture
description,Template/description_locString_2543871262668956605_35a8fe60617b2534ba76ca85cb6b14b6,A sharp tonic that scours away the remnants of ill-advised amorous encounters.,1,potion,ItemTemplate_Alchemy_SoS_Quest_TheDiscreetRemedy
description,Template/description_locString_2543871262668956605_35da1e8888fcd8942843505a81487bbc,Increase [StatEnum] by [AddValueCalculated] for [DurationCalculated] seconds.,1,potion,ItemTemplate_Alchemy_OgresStrength
description,Template/description_locString_2543871262668956605_38c6e42bc3d9a1b48af5687e0513bb59,"Restores [HealValue] health over [Duration]s.
Increases [StatEnum_1] by [AddValueCalculated_1] for [DurationCalculated_1]s.",1,food,ItemTemplate_Crafting_Alchemy_Heart
description,Template/description_locString_2543871262668956605_3bb217ff58f9cff40ba4adcca79e16e1,"Consumption leads to Suffering.
Increase [StatEnum_0] by [AddValueCalculated] for [DurationCalculated_0] seconds.
Set [StatEnum_1] to [SetValueCalculated] for [DurationCalculated_1] seconds.",1,potion,ItemTemplate_Alchemy_FireintheBelly
description,Template/description_locString_2543871262668956605_3db2b9233ad67cd40a31470a86757f37,"For [DurationCalculated]s, there is no movement penalty while walking with a drawn bow.",1,potion,ItemTemplate_Alchemy_AgileHunter
description,Template/description_locString_2543871262668956605_3eea26a9ede973445a872f37b76f4677,Apply Confusion ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_TangledThoughts
description,Template/description_locString_2543871262668956605_3f4893c9b7ae98b4f89c80735338d737,Applying to a weapon has a [ChanceToApply:P0] chance to inflict <k=StatusStun>Stun</k>.,1,potion,ItemTemplate_Alchemy_LiquidConcussion
description,Template/description_locString_2543871262668956605_428e1bcf58e468c49bc2a93d20911470,"Lose [HealValueCalculated_0] [StatEnum_0].
Increase [StatEnum_1] by [AddValueCalculated_1] for [DurationCalculated_1] seconds.",1,potion,ItemTemplate_Alchemy_ResidueStrength
description,Template/description_locString_2543871262668956605_44e3c9189aa7c0c46a09a4f6717c4afb,,1,potion,ItemTemplate_Alchemy_DrunkWolf
description,Template/description_locString_2543871262668956605_46af841360253864b9d5f91d28410f4e,"Greatly reduces HP, but locks [Stat] at 100% for [DurationCalculated] seconds.",1,potion,ItemTemplate_Alchemy_MadDog
description,Template/description_locString_2543871262668956605_4a558caedf9a2984c8ac0ca8f577fc61,Increase [StatEnum] by [AddValueCalculated] for [DurationCalculated] seconds.,1,potion,ItemTemplate_Alchemy_GrindylowsWits
description,Template/description_locString_2543871262668956605_4b32dc4de7598cf499dccd719df441c9,"Increase [StatEnum_0] by [AddValueCalculated_0] for [DurationCalculated_0] seconds.
Decrease [StatEnum_1] by [LoseValueCalculated_1] for [DurationCalculated_1] seconds.",1,potion,ItemTemplate_Alchemy_PromiseofSpring
description,Template/description_locString_2543871262668956605_4caee2a948f38654c865e47534bf3f6d,Apply Poison ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_PoisonousCoating
description,Template/description_locString_2543871262668956605_4eea9eb9dbd4ab9409496e5109892470,Apply Mute ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_TongueTwister
description,Template/description_locString_2543871262668956605_4fdfdfd353392814aba0c101353e333c,"Coats weapon for [{BuffDuration}] seconds, inflicting <k=StatusPoison>Poison</k> build-up.",1,potion,ItemTemplate_CrazyConsumable_MossfromaCursedWell
description,Template/description_locString_2543871262668956605_52888713cac14f2469594082d2496a75,Consumption leads to Suffering.,1,potion,ItemTemplate_Alchemy_ToxicRelationship
description,Template/description_locString_2543871262668956605_535a34c98b80fad49a7a0a17db8a7cd3,It looks somewhat edible...,1,food,ItemTemplate_Consumable_Quest_EtherbloomCrumble
description,Template/description_locString_2543871262668956605_54d4087cb88c5234db2b6f7b8f0ba0ef,A curious potion that increases your [StatEnum_0] at the cost of all other skills.,1,potion,ItemTemplate_Alchemy_AmbiguousBlessingsPotion
description,Template/description_locString_2543871262668956605_5521207f755551242bcb660030a1ba00,,1,potion,ItemTemplate_Alchemy_Antidote
description,Template/description_locString_2543871262668956605_58a57e9e43d2a7344a71ab3ff7383166,"Consumption leads to insobriety.
Increase [StatEnum] by [AddValueCalculated] for [DurationCalculated] seconds.",1,potion,ItemTemplate_Alchemy_LiquidGrace
description,Template/description_locString_2543871262668956605_5919764dc15c915479a90f05032a273f,You shoot an additional arrow when using bows for [DurationCalculated]s.,1,potion,ItemTemplate_Alchemy_TrickshotPotion
description,Template/description_locString_2543871262668956605_5e3f4ac26a2b7374fbf156a94c6a10b4,"Restores [HealValue_0] health over [DurationCalculated_0]s.
Increases [StatEnum_1] by [AddValueCalculated_1] for [Duration_1]s.",1,food,ItemTemplate_Cooking_Custom_DamnGoodFish
description,Template/description_locString_2543871262668956605_5f0ac81d3381624409bbf69a47dc5c35,Increases [StatEnum_0] at the cost of [StatEnum_1].,1,potion,ItemTemplate_Alchemy_MonstrousDebris
description,Template/description_locString_2543871262668956605_5f83be37ddaa7fc44a50c5544d7bb94a,"Consumption leads to Suffering.
Lose [HealValueCalculated] [StatEnum].",1,food,ItemTemplate_Crafting_Alchemy_Wyrdmeat
description,Template/description_locString_2543871262668956605_5ff275913bfb2614dbeb30f2eaf5fc1d,"Increases Endurance, but causes Poison.",1,potion,ItemTemplate_Alchemy_IronBlood
description,Template/description_locString_2543871262668956605_63ed977fddc14a347a95932e086bd7d8,Consumption leads to inebriation.,1,food,ItemTemplate_Crafting_Alchemy_Wine
description,Template/description_locString_2543871262668956605_64141b6fc1102e5499eee571cb2dd5cc,,1,food,ItemTemplate_Crafting_Alchemy_Fine_Wine
description,Template/description_locString_2543871262668956605_64e1bc7d2bca64446adde4d1741e33f5,Apply Mute ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_MuteFiend
description,Template/description_locString_2543871262668956605_6611526979a52bc44aad10dd374e8a55,Apply Slow ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_ViscousElixir
description,Template/description_locString_2543871262668956605_70950703d3587b347a933b46c4e65871,Resets your skill and stat points. ,1,potion,ItemTemplate_Alchemy_RespecPotion
description,Template/description_locString_2543871262668956605_7204b60d209ea2b4a86dfce59491295f,Increases how many times one can Dash without a penalty by [AddValueCalculated] for [DurationCalculated] seconds.,1,potion,ItemTemplate_Alchemy_RabbitJuice
description,Template/description_locString_2543871262668956605_72a7d6ae581ff324c90e5de5cde604a5,Consumption leads to inebriation.,1,food,ItemTemplate_Crafting_Alchemy_Cider
description,Template/description_locString_2543871262668956605_74711d86ce72e8b4e81f953de585f62f,Consumption leads to Fragileness.,1,potion,ItemTemplate_Alchemy_MerlinsStrength
description,Template/description_locString_2543871262668956605_76c11169710c7364ba217c37f521d28c,Permanently increase [Stat] by [IncreaseValue].,1,food,ItemTemplate_Crafting_Cooking_MysteriousSeeds
description,Template/description_locString_2543871262668956605_777b23c9a3271d54cab4dc4a0950d9a5,Heals [HealValueCalculated] [StatEnum] over [DurationCalculated] seconds.,1,potion,ItemTemplate_Alchemy_HealingTincture
description,Template/description_locString_2543871262668956605_789cc714247799441b071e018d6e83ee,Lose [HealValueCalculated] [StatEnum].,1,food,ItemTemplate_Crafting_Alchemy_MonsterBlood
description,Template/description_locString_2543871262668956605_78b1f5072c6fac643bad7183af6040cb,Increases [StatEnum] by [AddValueCalculated]% for [DurationCalculated_0] seconds.,1,potion,ItemTemplate_Alchemy_TenaciousArcher
description,Template/description_locString_2543871262668956605_7904ea5e2c61c104ab09099ef99ea2fa,Grants Haste.,1,potion,ItemTemplate_Alchemy_MonsterDialysisTonic
description,Template/description_locString_2543871262668956605_79c63e3762dc8f84a93496b1074dd244,"Coats weapon for [{BuffDuration}] seconds, inflicting <k=StatusBurn>Burn</k> build-up.",1,potion,ItemTemplate_CrazyConsumable_FlameResin
description,Template/description_locString_2543871262668956605_7b2c5ab64e18b8341be2663e9292af23,Increase [StatEnum] by [AddValueCalculated] for [Duration] seconds.,1,potion,ItemTemplate_Alchemy_CerebroSpinalWater
description,Template/description_locString_2543871262668956605_7e804de1e6fcd5443b2a275f638aae5b,Increases jump height by [AddValueCalculated:P0] for [DurationCalculated]s.,1,potion,ItemTemplate_Alchemy_LeaperPotion
description,Template/description_locString_2543871262668956605_7fd826aa85433fa49ae7c265d3296a56,Apply Slow ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_WitheringPoison
description,Template/description_locString_2543871262668956605_80f3f41350dc1234897e8a615a0bcd1a,Consumption leads to inebriation.,1,food,ItemTemplate_Crafting_Alchemy_Mead
description,Template/description_locString_2543871262668956605_83b7a9b181b6c8b4099fa49d579247ff,Consumption leads to Suffering.,1,food,ItemTemplate_Crafting_Alchemy_Wolfsbane
description,Template/description_locString_2543871262668956605_8443fe12b10d9f54ebe8f69e49d5e807,Apply Confusion ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_Vertigo
description,Template/description_locString_2543871262668956605_84672c5657be49c43b1f8554ecb861b6,"Increase [StatEnum_0] by [AddValueCalculated_0] for [DurationCalculated_0] seconds.
Decrease [StatEnum_1] by [LoseValueCalculated_1]% for [DurationCalculated_1] seconds.
Lose [HealValueCalculated_2] [StatEnum_2] over [DurationCalculated_2] seconds.",1,potion,ItemTemplate_Alchemy_OozingVapors
description,Template/description_locString_2543871262668956605_8699b0ce8312f12449558fea636b8878,,1,potion,ItemTemplate_ItemStory_HoS_HebersElixir
description,Template/description_locString_2543871262668956605_883de231faa29f54d8959c3b3c1bab88,"Increases [StatEnum] by [AddValueCalculated] for [DurationCalculated] seconds.
May have side effects.",1,potion,ItemTemplate_Alchemy_AntiAgingMedicine
description,Template/description_locString_2543871262668956605_884d3e7930ad62e45ae9819d42506232,Apply Weak ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_HeavyHeart
description,Template/description_locString_2543871262668956605_8d5e1f767a650f84780f4831e6e6ed7e,Consumption leads to inebriation.,1,potion,ItemTemplate_Alchemy_OrderlyTincture
description,Template/description_locString_2543871262668956605_8df141114b411974fb0e72aee5b6fb10,Increases Movement Speed by 20% for [Duration]s.,1,potion,ItemTemplate_Alchemy_KeepersVigor
description,Template/description_locString_2543871262668956605_8f5a0ea2b0ef4ec4aa251a22705c341b,Increases [StatEnum_0] at the cost of all other skills.,1,potion,ItemTemplate_Alchemy_Chaga
description,Template/description_locString_2543871262668956605_94513d3db8e6db44f80404fe24cb44f6,"Increase [StatEnum_0] by [AddValueCalculated_0] for [DurationCalculated_0] seconds.
Lose [HealValueCalculated_1] [StatEnum_1] over [DurationCalculated_1] seconds.",1,potion,ItemTemplate_Alchemy_OBraonainRoots
description,Template/description_locString_2543871262668956605_957efb01a6fd6e64981172b5cb6f44f8,Consumption leads to inebriation.,1,food,ItemTemplate_Crafting_Alchemy_Moonshine
description,Template/description_locString_2543871262668956605_9e49c3e9b772b2c42a13458d973e97cf,"Weaknes the user, but greatly enhances their [StatEnum] by [AddValueCalculated] for [DurationCalculated] seconds.",1,potion,ItemTemplate_Alchemy_PowderofSympathy
description,Template/description_locString_2543871262668956605_a1259b370108c7b4c9be40f8c9800465,,1,potion,ItemTemplate_Alchemy_IronWillPhilter
description,Template/description_locString_2543871262668956605_a293117b7d34aa34fb8cf9d4efa138b8,Consumption leads to Suffering.,1,food,ItemTemplate_Crafting_Alchemy_Mandrake
description,Template/description_locString_2543871262668956605_a5c85c299664eb949bcb9bcee35d8eb3,"Your arrows do not break on impact for [DurationCalculated]s, allowing you to always retrieve them.",1,potion,ItemTemplate_Alchemy_HuntersLuckPotion
description,Template/description_locString_2543871262668956605_a60aac746acf0014180326758216f94f,"Increases Endurance, but makes one Drunk.",1,potion,ItemTemplate_Alchemy_FortifyingBeverage
description,Template/description_locString_2543871262668956605_a976f8c8d2c63324f99a2eb43e43fd76,Increase [StatEnum] by [AddValueCalculated] for [DurationCalculated] seconds.,1,potion,ItemTemplate_Alchemy_SacredConcoction
description,Template/description_locString_2543871262668956605_aa17a317d745642438aac997b9de0831,Grants Bless.,1,potion,ItemTemplate_Alchemy_SacredElixir
description,Template/description_locString_2543871262668956605_ab07297436714e642bc069def0d444ae,Apply Confusion ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_NewbornBliss
description,Template/description_locString_2543871262668956605_ab73e6aa761e1784c9ed30feda83c68c,"Increase [StatEnum_0] by [AddValueCalculated_0] for [DurationCalculated_0] seconds.
Decrease [StatEnum_1] by [LoseValueCalculated_1] for [DurationCalculated_1] seconds.
Decrease [StatEnum_2] by [LoseValueCalculated_2] for [DurationCalculated_2] seconds.",1,potion,ItemTemplate_Alchemy_NoxiousSeaEye
description,Template/description_locString_2543871262668956605_ad1f47807374b614ab4fa638b54e96ff,"When receiving Damage, returns [AddValueCalculated:P0] of it back to attacker for [DurationCalculated] seconds.",1,potion,ItemTemplate_Alchemy_ThornyPotion
description,Template/description_locString_2543871262668956605_ae8228b967f022140b910d206846b7db,"Restores [HealValueCalculated:P0] [StatEnum], [HealValueCalculated_2:P0] [StatEnum_2], and [HealValueCalculated_3:P0] [StatEnum_3].",1,potion,ItemTemplate_Alchemy_BeesNectar
description,Template/description_locString_2543871262668956605_b02de9b4d21b7544b83f8daf72b17bf0,"Increases Endurance, but causes Poison.",1,potion,ItemTemplate_Alchemy_IronBack
description,Template/description_locString_2543871262668956605_b2359faa364389445a6cf54f9b30a41c,"Coats weapon, inflicting Weak build-up.",1,potion,ItemTemplate_CrazyConsumable_PurgingSteel
